Bekerules	Leiras	Ar	Kerulet	Iroda	Jelleg	Alapterulet
2007.04.11	Gyergyó u. / 35 m2 1,5 sz. Távfûtés, átlagos áll. PVC + 1 szoba, padlószõnyeg	7800000	2	3	lakás	35
2007.04.10	Domokos utca / 2. emeleti, 35 m2, 1,5 szoba, szép lakás eladó	8200000	3	0	lakás	35
2007.02.16	Darabos u. / 35 m2-es 1,5 szobás távfûtéses lakás zárt folyosón eladó	7500000	3	1	lakás	35
2007.04.28	Dobozi u. / 39 m2 1 szoba felújított parkra nézõ lakás 	8700000	3	2	lakás	39
2007.02.13	Egyetem sgt. / fszt. 42 m2 1 szoba konvektoros, felújított, pincerekeszes lakás eladó	9600000	1	4	lakás	42
2007.04.07	Sámsoni u. / 43 m2-es, 1,5 szobás, tégla-gázos, pincerekeszes szép lakás eladó	7100000	2	0	lakás	43
2007.05.07	Gyöngyösi u. / 43 m2-es, 1 szoba, amerikai konyha, tégla-gáz fûtés, felújított, franciaerkély, klíma	9500000	2	0	lakás	43
2007.03.22	Bethlen u. / 46 m2-es 2 szoba + nappalis mért távfûtésû, loggiás lakás eladó	8500000	3	0	lakás	46
2007.03.05	Csapó út / 56/49 m2, 1,5 szoba, étkezõkonyhás lakás, tégla-gázfûtéses	11800000	3	1	lakás	49
2007.02.11	Barna u. /  50 m2, 2 szoba, erkély, felújított	10800000	1	3	lakás	50
2007.03.31	Görgey u. / 51 m2 2 szobás, távfûtéses,  erkélyes, pincerekeszes	7100000	1	0	lakás	51
2007.03.24	Barna u. / 51 m2 1,5sz+étkezõ, konvektoros, felújított lakás, klíma, pincerekesz	9700000	1	3	lakás	51
2007.03.03	Jerikó u. / 51 m2, 2 szobás erkélyes mértfûtéses lakás	7900000	1	2	lakás	51
2007.04.30	Egyetem Sgt. / 51 m2, 1,5 szoba + étkezõ, tégla-gázfûtés, felújított, francia erkély	12200000	3	2	lakás	51
2007.04.06	Kassai u. / 52 m2 1,5 szoba + étkezõ, egyedi gázfûtésû  felújított lakás	11500000	2	4	lakás	52
2007.05.09	Vág u. / fsz-i 2 szoba 53 m2 felújitandó, belsõ zárt udvar-os lakás, erkély.	12900000	2	2	lakás	53
